,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
1983,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1986,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1998,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1999,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2001,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
2002,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2006,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
2008,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
2009,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2010,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2012,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2016,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
2017,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
2018,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2019,2.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2020,2.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,
2021,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0
2022,2.0,3.0,1.0,,,,,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,
2023,4.0,17.0,,,1.0,1.0,,2.0,1.0,4.0,,,,,,,,,,,1.0,2.0,,,,
2024,,4.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
