,Medicine,Social Sciences,Agricultural and Biological Sciences,Engineering,Environmental Science,Computer Science,"Biochemistry, Genetics and Molecular Biology",Psychology,Arts and Humanities,Health Professions,Materials Science,"Business, Management and Accounting","Economics, Econometrics and Finance",Physics and Astronomy,Earth and Planetary Sciences,Neuroscience,Chemistry,Immunology and Microbiology,Energy,Mathematics,Nursing,Decision Sciences,Dentistry,"Pharmacology, Toxicology and Pharmaceutics",Chemical Engineering,Veterinary
1980,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0
1988,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
1989,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
1992,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
1993,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
1994,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,
1997,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1998,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2002,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2003,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
2004,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2005,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2006,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2007,3.0,2.0,,,,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,
2008,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
2009,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
2010,3.0,3.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,
2011,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
2012,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2013,2.0,1.0,1.0,,1.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,
2014,4.0,1.0,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,
2015,8.0,,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,
2016,8.0,4.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,
2017,10.0,2.0,,,3.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,3.0,,
2018,19.0,7.0,,,,,3.0,4.0,,7.0,,,1.0,,,,,1.0,,,,,,,,
2019,13.0,5.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,
2020,9.0,5.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,5.0,,1.0,1.0,,,,,
2021,13.0,4.0,,1.0,,1.0,1.0,1.0,2.0,2.0,,,4.0,,1.0,,,1.0,,,,,,,,
2022,19.0,6.0,3.0,,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,2.0,,,1.0,,,,,
2023,34.0,4.0,,2.0,,,3.0,3.0,2.0,,1.0,2.0,3.0,,,5.0,,1.0,,,,2.0,,,,
2024,34.0,8.0,1.0,1.0,2.0,10.0,3.0,,,3.0,,12.0,2.0,,,4.0,,,1.0,,,2.0,,,,
